"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)"
CAL,"8/6/2024 7 a.m. PDT",1929,103
CAL,"8/6/2024 8 a.m. PDT",1481,1486
CAL,"8/6/2024 9 a.m. PDT",1191,8242
CAL,"8/6/2024 10 a.m. PDT",860,13467
CAL,"8/6/2024 11 a.m. PDT",628,16347
CAL,"8/6/2024 12 p.m. PDT",587,17063
CAL,"8/6/2024 1 p.m. PDT",681,17420
CAL,"8/6/2024 2 p.m. PDT",809,18065
CAL,"8/6/2024 3 p.m. PDT",1154,17608
CAL,"8/6/2024 4 p.m. PDT",1358,17221
CAL,"8/6/2024 5 p.m. PDT",1578,16824
CAL,"8/6/2024 6 p.m. PDT",1757,15555
CAL,"8/6/2024 7 p.m. PDT",1937,12297
CAL,"8/6/2024 8 p.m. PDT",2650,5809
CAL,"8/6/2024 9 p.m. PDT",3341,680
CAL,"8/6/2024 10 p.m. PDT",3683,6
CAL,"8/6/2024 11 p.m. PDT",3883,12
CAL,"8/7/2024 12 a.m. PDT",3977,15
CAL,"8/7/2024 1 a.m. PDT",3909,14
CAL,"8/7/2024 2 a.m. PDT",3777,15
CAL,"8/7/2024 3 a.m. PDT",3658,14
CAL,"8/7/2024 4 a.m. PDT",3490,15
CAL,"8/7/2024 5 a.m. PDT",3284,14
CAL,"8/7/2024 6 a.m. PDT",3126,14
CAL,"8/7/2024 7 a.m. PDT",3364,53
CAL,"8/7/2024 8 a.m. PDT",2393,1045
CAL,"8/7/2024 9 a.m. PDT",1779,6537
CAL,"8/7/2024 10 a.m. PDT",1546,11551
CAL,"8/7/2024 11 a.m. PDT",1133,14827
CAL,"8/7/2024 12 p.m. PDT",965,16856
CAL,"8/7/2024 1 p.m. PDT",999,17406
CAL,"8/7/2024 2 p.m. PDT",1356,17243
CAL,"8/7/2024 3 p.m. PDT",2075,17276
CAL,"8/7/2024 4 p.m. PDT",2777,16823
CAL,"8/7/2024 5 p.m. PDT",3413,16480
CAL,"8/7/2024 6 p.m. PDT",4056,15235
CAL,"8/7/2024 7 p.m. PDT",4256,12441
CAL,"8/7/2024 8 p.m. PDT",4551,6083
CAL,"8/7/2024 9 p.m. PDT",4974,782
CAL,"8/7/2024 10 p.m. PDT",5017,68
CAL,"8/7/2024 11 p.m. PDT",5036,73
CAL,"8/8/2024 12 a.m. PDT",4929,76
CAL,"8/8/2024 1 a.m. PDT",4956,74
CAL,"8/8/2024 2 a.m. PDT",4791,74
CAL,"8/8/2024 3 a.m. PDT",4518,73
CAL,"8/8/2024 4 a.m. PDT",4496,74
CAL,"8/8/2024 5 a.m. PDT",4614,72
CAL,"8/8/2024 6 a.m. PDT",4483,72
CAL,"8/8/2024 7 a.m. PDT",4528,136
CAL,"8/8/2024 8 a.m. PDT",4332,1017
CAL,"8/8/2024 9 a.m. PDT",4104,6304
CAL,"8/8/2024 10 a.m. PDT",3935,11180
CAL,"8/8/2024 11 a.m. PDT",3793,14346
CAL,"8/8/2024 12 p.m. PDT",3421,15840
CAL,"8/8/2024 1 p.m. PDT",3185,17075
CAL,"8/8/2024 2 p.m. PDT",3108,17429
CAL,"8/8/2024 3 p.m. PDT",3350,17343
CAL,"8/8/2024 4 p.m. PDT",3970,17535
CAL,"8/8/2024 5 p.m. PDT",4487,16832
CAL,"8/8/2024 6 p.m. PDT",4970,15634
CAL,"8/8/2024 7 p.m. PDT",5154,12922
CAL,"8/8/2024 8 p.m. PDT",5325,6371
CAL,"8/8/2024 9 p.m. PDT",5560,801
CAL,"8/8/2024 10 p.m. PDT",5484,-30
CAL,"8/8/2024 11 p.m. PDT",5386,-29
CAL,"8/9/2024 12 a.m. PDT",5148,-26
CAL,"8/9/2024 1 a.m. PDT",5024,-26
CAL,"8/9/2024 2 a.m. PDT",4933,-26
CAL,"8/9/2024 3 a.m. PDT",4819,-28
CAL,"8/9/2024 4 a.m. PDT",4864,-27
CAL,"8/9/2024 5 a.m. PDT",4685,-27
CAL,"8/9/2024 6 a.m. PDT",4318,-27
CAL,"8/9/2024 7 a.m. PDT",4170,50
CAL,"8/9/2024 8 a.m. PDT",3748,1240
CAL,"8/9/2024 9 a.m. PDT",3221,6517
CAL,"8/9/2024 10 a.m. PDT",2636,11456
CAL,"8/9/2024 11 a.m. PDT",1954,14802
CAL,"8/9/2024 12 p.m. PDT",1582,16787
CAL,"8/9/2024 1 p.m. PDT",1461,17947
CAL,"8/9/2024 2 p.m. PDT",1591,18466
CAL,"8/9/2024 3 p.m. PDT",2158,18123
CAL,"8/9/2024 4 p.m. PDT",2817,17789
CAL,"8/9/2024 5 p.m. PDT",3209,17334
CAL,"8/9/2024 6 p.m. PDT",3663,15658
CAL,"8/9/2024 7 p.m. PDT",3907,12954
CAL,"8/9/2024 8 p.m. PDT",3887,6305
CAL,"8/9/2024 9 p.m. PDT",4265,705
CAL,"8/9/2024 10 p.m. PDT",4675,-51
CAL,"8/9/2024 11 p.m. PDT",4518,-54
CAL,"8/10/2024 12 a.m. PDT",4665,-52
CAL,"8/10/2024 1 a.m. PDT",4642,-52
CAL,"8/10/2024 2 a.m. PDT",4451,-52
CAL,"8/10/2024 3 a.m. PDT",4434,-51
CAL,"8/10/2024 4 a.m. PDT",4338,-52
CAL,"8/10/2024 5 a.m. PDT",4212,-52
CAL,"8/10/2024 6 a.m. PDT",4014,-52
CAL,"8/10/2024 7 a.m. PDT",3711,37
CAL,"8/10/2024 8 a.m. PDT",3270,1615
CAL,"8/10/2024 9 a.m. PDT",2569,8937
CAL,"8/10/2024 10 a.m. PDT",2214,14699
CAL,"8/10/2024 11 a.m. PDT",2171,16720
CAL,"8/10/2024 12 p.m. PDT",1865,17551
CAL,"8/10/2024 1 p.m. PDT",1612,17960
CAL,"8/10/2024 2 p.m. PDT",1466,18067
CAL,"8/10/2024 3 p.m. PDT",1702,17166
CAL,"8/10/2024 4 p.m. PDT",2422,16608
CAL,"8/10/2024 5 p.m. PDT",3439,16000
CAL,"8/10/2024 6 p.m. PDT",4163,14449
CAL,"8/10/2024 7 p.m. PDT",4427,10953
CAL,"8/10/2024 8 p.m. PDT",4415,5349
CAL,"8/10/2024 9 p.m. PDT",4655,642
CAL,"8/10/2024 10 p.m. PDT",4962,-59
CAL,"8/10/2024 11 p.m. PDT",5102,-55
CAL,"8/11/2024 12 a.m. PDT",4974,-52
